start month,start year,end month,end year,Lamas num,case num,road num,road name,semel yishuv,shem yishuv,shem medaveach,sug slila,road len,road width,road area,road type,way type
7,1998,12,1998,1319,0 0,0,הגליל התבור,6800,קריית אתא,עיריית קרית-אתא,הרחבה ושיקום,350,5,1750,מרוצף,עירונית
2,2014,4,2015,12403,0 0,5,חבר כביש 5,1110,חבר,מועצה אזורית הגלבוע,הרחבת כביש,200,10,2000,מצופה אספלט,עירונית
9,2004,3,2007,6138,52077 0,0,באר שבע מכרז 4157,9000,באר שבע,משרד הבינוי והשיכון תל אביב,סלילת כביש,3344,8,26752,מצופה אספלט,עירונית
8,2022,8,2022,20670,,0,ברקת,7100,אשקלון,חברה הכלכלית לאשקלון,שיקום כביש,113,8,893,מצופה אספלט,עירונית
8,2013,12,2013,11560,0 0,0,ברטעה,1326,"בסמ""ה","מועצה מקומית בסמ""ה",הרחבת כביש,150,8,1200,מצופה אספלט,עירונית
4,1998,10,1998,81,0 0,0,חלת בחר,499,יפיע,מועצה מקומית יפיע,הרחבת כביש,600,7,4200,מצופה אספלט,עירונית
11,2021,4,2022,19152,,0,ריינה,542,ריינה,מועצה מקומית ריינה,הרחבת כביש,1500,7,10500,מצופה אספלט,עירונית
11,2006,12,2006,7247,0 0,0,הרב מינץ,8300,ראשון לציון,עיריית ראשון לציון,שיקום כביש,250,8,2000,מצופה אספלט,עירונית
4,2015,6,2015,13132,0 0,678,כפר מצר,512,כפר מצר,מועצה אזורית בוסתאן אל מרג,הרחבת כביש,300,12,3600,מצופה אספלט,עירונית
7,1999,7,1999,948,0 0,0,יוסף אליהו,5000,תל אביב -יפו,עיריית תל-אביב יפו,שיקום כביש,324,6,1944,מצופה אספלט,עירונית
4,2003,4,2003,5327,0 0,0,סימת החרמון,5000,תל אביב -יפו,עיריית תל-אביב יפו,שיקום כביש,40,4,160,מצופה אספלט,גישה
11,1993,4,1997,3301,17027 0,0,י-ם נוה יעקב,9999,כביש בין ישובים,משרד הבינוי והשיכון תל אביב,הרחבת כביש,5000,6,30000,מצופה אספלט,עירונית
10,2021,4,2022,20295,4600004884,4,,0,אזור בין עירוני,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",הרחבת כביש,450,12,5175,מצופה אספלט,ראשית
1,2014,9,2015,13019,0 0,0,שושנה דמרי,7600,עכו,עיריית עכו,סלילת כביש,200,6,1200,מרוצף,גישה
7,1999,7,1999,1801,0 0,0,חיים עוזר,7900,פתח תקווה,עיריית פתח תקווה,שיקום כביש,44,10,440,מצופה אספלט,ראשית
9,1994,10,1996,244,0 0,0,חרמון,1061,נצרת עילית,עיריית נוף הגליל,שיקום כביש,250,9,2250,מצופה אספלט,ראשית
10,2021,12,2021,19378,,0,תל חי,2800,קריית שמונה,עיריית קריית שמונה,סלילת כביש,505,11,5555,אחר,עירונית
8,2020,11,2020,18178,0 0,0,כביש מספר 224,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",הרחבה ושיקום,4300,14,60200,מצופה אספלט,ראשית
5,1996,12,1996,1179,0 0,0,ברנדיים,6500,חדרה,עיריית חדרה,סלילת כביש,160,10,1600,מצופה אספלט,עירונית
4,2014,6,2014,12373,2374 1,854,כביש 854,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",הרחבת כביש,1200,2,1800,מצופה אספלט,גישה
9,2000,11,2000,1632,0 0,0,חריש,7800,פרדס חנה-כרכור,מועצה מקומית פרדס חנה כרכור,הרחבה ושיקום,130,8,1040,מרוצף,עירונית
10,2005,12,2005,6550,0 0,0,יער אשתאול,740,אשתאול,,הרחבה ושיקום,400,5,2000,מצופה אספלט,אזורית
6,2020,7,2020,18268,,0,הדסה עין כרם -כיכר 3+047,3000,ירושלים,מוריה ירושלים,שיקום כביש,93,6,600,מצופה אספלט,עירונית
11,1994,7,1997,2810,660 0,0,גיבשסן,8300,ראשון לציון,עיריית ראשון לציון,הרחבת כביש,900,5,4230,מצופה אספלט,עירונית
7,2012,8,2012,9887,0 0,11,חורה,1303,חורה,מועצה מקומית חורה,סלילת כביש,420,14,5800,מצופה אספלט,עירונית
10,1997,12,1997,4103,0 0,0,תחנת רכבת,9999,כביש בין ישובים,,שיקום כביש,430,3,1290,מצופה אספלט,גישה
5,1997,9,1997,3821,0 0,0,צומת ראשית,9999,כביש בין ישובים,,הרחבה ושיקום,300,5,1500,מצופה אספלט,עירונית
1,2004,7,2007,5797,51799240,0,קריית גת מכרז 5376,2630,קריית גת,משרד הבינוי והשיכון תל אביב,סלילת כביש,312,8,2496,מצופה אספלט,עירונית
5,2002,10,2002,4644,0 0,0,כביש מס'24,1292,ג''דיידה-מכר,מועצה מקומית ג'דיידה- מכר,הרחבה ושיקום,140,4,560,מצופה אספלט,עירונית
3,2018,4,2018,16269,35 17,0,כביש 471,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,600,7,4200,מצופה אספלט,אזורית
